"x","y"
-1240.87001251104,1482.2123004758
-810.127770330194,956.371423610885
-452.80794412869,1251.71763159925
-1280.41594440554,1388.28223540487
-651.930578152455,1082.81075956935
-631.828290713363,1131.66593801741
-988.652066265908,1058.08698850221
-1065.93815438913,1055.66366734586
-636.789846537836,1081.51557232838
-10.7088047086338,2015.04471339407
-1086.52098127046,1042.90247151682
-1276.5547963004,1392.19491764867
-1235.31105721021,1481.0718218748
-645.724058454114,1073.43101078676
3791.84185484078,-1014.62120788723
-683.801524144972,1037.6454344744
-634.57445848233,1125.13296169158
-614.922784189432,1142.25638647617
-1095.38173625056,1039.27645182401
-1939.91276804531,1874.30399166633
-1157.25282114746,2721.52019376228
-1238.72259297372,1476.26759348729
-648.304976097227,1086.2555215363
-805.115044976452,2720.36927383097
-809.764938591395,2611.3145950561
428.241483215159,2035.04606849783
-619.650996338602,1127.58182193904
-1165.4538695048,2719.7016273917
41.7378960131903,2031.26281645668
-463.058697280787,1242.37740581084
-1108.6373091169,1027.01391975731
-1147.05573365074,2722.29839211847
-1216.3001424965,2709.09267758481
-1237.30889624243,1491.97726061136
-1294.91612559304,1349.53550868956
-2316.41594003621,2264.73426953317
-1985.12971075846,2390.77206502107
-1063.43944967515,1747.76576128564
-2337.05752905439,2296.65920775896
-2342.87873533458,2348.65665770955
-2307.00183174605,2321.30834770237
-1352.49116151635,1033.27278176591
-2628.83357892236,2085.9450944192
-2846.21552364674,2435.56926478699
-2842.52809106121,2427.01523765117
-2828.23418597914,2346.62608475652
-2606.15174151698,2047.48757110412
-2632.61355769336,2089.65703053357
-2589.67589489239,2047.05546663452
-2638.06390418648,2090.773494753
2910.40472210762,-2574.85608289524
748.568136614342,1994.06689722926
923.085445404215,1791.00680216747
912.124999538825,1816.66226850259
908.140444386797,1786.87878624202
888.758922062363,1778.32272548024
887.110375393324,1787.48583222091
2790.74425902072,-2593.07073349974
412.286044971079,1176.94624331785
405.969188740901,1174.55802916106
433.465430892124,1167.07611522043
428.252518736376,1170.39014157644
-1107.28660562282,1592.78933631875
-1221.11057221626,1588.62403648489
985.265769151349,1185.56695196618
-1047.13518687205,2810.83469894235
959.984374109946,1195.3098717655
-600.432494625294,2587.31790968866
621.252126758804,1148.70503436915
616.068192540395,1147.7180161478
192.470758091591,1194.89670408395
-241.440898400914,1347.60120010297
-231.84380175463,1351.43246705312
3397.52822519412,-1491.77777236091
-253.765954113344,1348.08914698199
230.731502165819,1156.93539306012
-2758.13154382685,2162.15378151657
-1295.85433269164,2555.77498853577
-2113.75615805084,2383.1699588764
-2760.25744214353,2167.80115548485
-2742.04404188774,2156.90065689041
2656.06457477821,-2597.21599744797
2636.30208254295,-2611.02103235695
2675.35239890471,-2614.92453095832
2654.08081850453,-2604.14012108635
2681.41786478139,-2608.80694657058
2659.02750193516,-2610.92548380516
-2004.55474225227,2383.81728726375
-2754.43906435394,2168.26023762046
-1789.78486066236,2304.0112793469
-1782.94367306188,2313.28271849915
-1774.22249866732,2314.90895028673
-1777.60348670337,2319.8695121773
2895.29356370823,-2596.89898642922
-2757.25637493149,2157.02037359331
3310.75579359852,-2053.55358381756
-2680.46785768581,2111.91347173756
-2732.29089795931,2155.07175386659
-1773.28393750609,2330.00331788814
-2845.29419123902,2742.64872857428
-1211.30570540213,2700.20853821915
2895.35044985409,-2601.97760100743
3308.15403844137,-1853.82240546353
2631.19086644906,-2593.51966709049
3720.97413226246,-1117.15439460212
-282.150590491634,2070.86623551322
2179.5697817784,-3025.37861333355
2178.83859767125,-3072.80920778189
2900.82974767861,-2587.20447534318
-1847.88488977296,2059.4481449349
2668.91731293042,-2599.81961271084
2783.77604092245,-2585.48693064837
-2840.98637807313,2750.80783281908
3813.48025208754,-720.923220970959
2779.59392648121,-2590.4297189532
-1774.18505383247,2426.3513812995
-2284.29296888743,2105.28127996072
2666.94903105769,-2590.11149621629
-1173.2760039008,2702.63940898014
2930.08735743796,-2534.19281399875
2910.69814470867,-2550.2350762745
2775.75054764053,-2594.37920534651
3346.465202964,-1558.93642169681
2675.25032761552,-2605.59282524252
-2284.51629389733,2099.72210181012
-1352.72223457893,1049.83831406018
-979.543114637483,1055.81626634643
112.65378053699,1338.04896250459
-2303.07256374603,2085.4736881737
3134.61551618128,-2272.59926086233
-2234.45998124891,2471.95045907569
-1904.87569691277,1867.92862062653
3811.95758706458,-968.770524920618
-2740.89104891969,2165.52359578716
-1880.97657732958,2404.57523193885
3409.23110278341,-1484.90081121317
3391.60926209962,-1491.02721642384
-1816.0185623805,2266.65938732505
-1864.48326554449,2187.02182984255
737.401715044155,1990.19323277148
1002.94355590696,1238.57727808544
-953.772890782415,2834.74159967014
-959.628912903,2825.19814107046
319.60180028015,1976.59646103889
-731.153798204037,1977.36172412802
324.710614299894,1975.81242455117
127.298889383712,1330.92208279434
-2728.48934069428,2160.53053971964
2692.01753053918,-2586.87194804333
2786.16379404054,-2590.84442410049
913.849105804902,1792.79854760473
2662.54808316293,-2604.73362998611
822.830867442674,1870.67855834197
2736.18710855105,-2600.57546555969
-2185.60626628849,2218.79711252487
2537.66716010799,-2675.35367409727
672.702361896042,1182.03431875142
-1773.95680535588,1778.77265597266
2167.95367473604,-3091.65096090065
2448.79840745019,-2691.82390516416
2457.43800840412,-2688.28874708786
3834.53640259252,-828.595842516822
2172.82447265561,-2984.65554149242
-1083.98013438833,2755.14178261136
413.298225232539,2035.09044062619
504.620608131702,2015.16859958016
458.235657384431,2026.63424562834
501.169151457443,2018.90990766802
655.914438854605,1156.50118785189
522.820996862404,3537.10607717676
3440.9038062857,-1454.44338277129
3445.74761756955,-1450.02675357303
3453.11431460958,-1443.56271908616
3832.59312536694,-815.082786092566
-1764.44949352827,2389.45358539791
-1845.9453259353,2215.73927428391
514.835597490453,3530.8079033231
2226.47702047366,-2846.70142362132
-1022.49896342915,3020.83334747905
-1044.69761272261,3021.73340139622
2171.70971464604,-3005.78202321034
3376.12051362935,-368.466235340765
3366.09312543513,-363.375357571329
3402.84216676958,-389.576365795219
3414.87246850358,-402.207343838686
3423.70208988227,-406.138458796238
3442.80553295122,-422.990741789231
3456.43220105365,-426.951450598231
3563.12353664716,-534.236255051845
