"scientificName","decimalLongitude","decimalLatitude"
"lyva",-86.3499984741,28.4832992554
"lyva",-83.1169967651,27.6170005798
"lyva",-82.9670028687,26.3999996185
"lyva",-80.3866729736,27.8333301544
"lyva",-83.3936004639,27.872800827
"lyva",-85.2332992554,29.0666999817
"lyva",-44.326,-23.137
"lyva",-84.3471984863,28.496099472
"lyva",-44.31,-23.085
"lyva",-83.1169967651,27.6170005798
"lyva",-81.4316711426,24.5400009155
"lyva",-78.9833297729,9.55000019073
"lyva",-44.69,-23.214
"lyva",-79.1832962036,32.1833000183
"lyva",-83.2533035278,28.5680999756
"lyva",-75.7853889,9.7774167
"lyva",-82.7336120605,26.2802791595
"lyva",-78.8233337402,32.4883308411
"lyva",-83.4670028687,27.6170005798
"lyva",-75.7706389,10.1748611
"lyva",-44.14,-23.043
"lyva",-81.8000030518,25.2944393158
"lyva",-75.7706389,10.1748611
"lyva",-79.5999984741,32.5233001709
"lyva",-75.7853889,9.7774167
"lyva",-44.367,-22.962
"lyva",-75.8661389,9.7055278
"lyva",-75.7706389,10.1748611
"lyva",-44.541,-23.268
"lyva",-79.7099990845,32.4883308411
"lyva",-77.4150009155,33.5416717529
"lyva",-83.8906021118,27.6718997955
"lyva",-44.309,-23.028
"lyva",-82.8330001831,27.5830001831
"lyva",-83.4670028687,27.6170005798
"lyva",-82.0999984741,26.3999996185
"lyva",-57.5670013428,7.632999897
"lyva",-44.596,-23.203
"lyva",-79.126701355,33.3484992981
"lyva",-77.4233322144,33.53332901
"lyva",-84.1563873291,25.2772197723
"lyva",-75.7706389,10.1748611
"lyva",-79.7050018311,32.5033302307
"lyva",-40.733001709,-2.48300004005
"lyva",-75.7706389,10.1748611
"lyva",-79.1999969482,32.9000015259
"lyva",-83.4670028687,27.6170005798
"lyva",-83.4670028687,27.6170005798
"lyva",-82.7277832031,26.2830600739
"lyva",-75.8661389,9.7055278
"lyva",-83.1169967651,27.6170005798
"lyva",-82.0999984741,26.3999996185
"lyva",-83.1169967651,27.6170005798
"lyva",-80.3983306885,30.3366699219
"lyva",-83.8906021118,27.6718997955
"lyva",-81.250831604,30.3830604553
"lyva",-76.5833282471,34.4016685486
"lyva",-90.8499984741,20.875
"lyva",-79.871673584,9.4066696167
"lyva",-83.6297225952,25.2813892365
"lyva",-77.766998291,33.3330001831
"lyva",-75.7706389,10.1748611
"lyva",-88.0749969482,16.8033294678
"lyva",-87.3336029053,29.5832996368
"lyva",-45.1306,-23.7928
"lyva",-75.7464444,10.2341944
"lyva",-44.601,-23.063
"lyva",-79.9282989502,32.452999115
"lyva",-79.7066726685,32.4900016785
"lyva",-80.4950027466,28.4966697693
"lyva",-80.8833312988,31.3899993896
"lyva",-82.8694381714,25.2877807617
"lyva",-82.0999984741,26.3999996185
"lyva",-83.2180633545,24.7852802277
"lyva",-79.7083282471,32.4900016785
"lyva",-80.878326416,31.3933296204
"lyva",-82.8330001831,27.5830001831
"lyva",-80.8816680908,31.3950004578
"lyva",-79.7216720581,32.4916687012
"lyva",-83.4670028687,27.6170005798
"lyva",-77.4166717529,33.5283317566
"lyva",-78.6666717529,32.8183288574
"lyva",-78.9833297729,9.55000019073
"lyva",-78.6500015259,32.5999984741
"lyva",-83.4670028687,27.6170005798
"lyva",-82.7336120605,26.2802791595
"lyva",-79.7099990845,32.4883308411
"lyva",-86.1082992554,29.9333000183
"lyva",-45.5133,-23.9019
"lyva",-78.6533279419,32.8233299255
"lyva",-83.8899993896,27.6186008453
"lyva",-80.8833312988,31.3899993896
"lyva",-82.7186126709,26.7627792358
"lyva",-82.7186126709,26.7627792358
"lyva",-44.191,-23.102
"lyva",-83.4670028687,27.6170005798
"lyva",-83.5652999878,27.8761005402
"lyva",-44.8594,-23.4156
"lyva",-82.9657974243,26.4153003693
"lyva",-82.3669967651,26.3999996185
"lyva",-81.7312333,12.5131333
"lyva",-83.1169967651,27.6170005798
"lyva",-88.0800018311,16.8016700745
"lyva",-80.3016662598,30.3824996948
"lyva",-83.9670028687,27.6170005798
"lyva",-80.2766723633,28.3916702271
"lyva",-83.3969421387,26.2805595398
"lyva",-44.312,-23.136
"lyva",-44.537,-23.152
"lyva",-44.225,-23.079
"lyva",-62.6500015259,17.1749992371
"lyva",-81.1900024414,24.6830005646
"lyva",-80.1169967651,28.0830001831
"lyva",-78.6505584717,32.6008300781
"lyva",-79.4542007446,32.8608016968
"lyva",-77.4083328247,33.53332901
"lyva",-81.8000030518,25.2944393158
"lyva",-76.5830001831,34.5999984741
"lyva",-77.3268611,8.6167222
"lyva",-44.8575,-23.3922
"lyva",-75.7706389,10.1748611
"lyva",-87.2170028687,29.9330005646
"lyva",-38.811,-13.633
"lyva",-44.537,-23.152
"lyva",-44.315,-23.193
"lyva",-83.1169967651,27.6170005798
"lyva",-79.686668396,9.5233297348
"lyva",-75.7855556,9.7794444
"lyva",-81.6633300781,25.2966709137
"lyva",-83.0344390869,25.2863903046
"lyva",-44.099,-23.164
"lyva",-82.8694381714,25.2877807617
"lyva",-82.8694381714,25.2877807617
"lyva",-82.2111129761,26.2952804565
"lyva",-82.1011123657,26.7669391632
"lyva",-75.7706389,10.1748611
"lyva",-45.2103,-23.5431
"lyva",-79.8333282471,9.39999961853
"lyva",-80.8816680908,31.3933296204
"lyva",-83.3969421387,26.2805595398
"lyva",-44.297,-23.113
"lyva",-85.2332992554,29.0666999817
"lyva",-45.0208,-23.7344
"lyva",-75.7706389,10.1748611
"lyva",-78.6666717529,32.8166694641
"lyva",-44.407,-23.098
"lyva",-85.2230987549,29.1464004517
"lyva",-81.8000030518,25.2944393158
"lyva",-81.6636123657,25.292219162
"lyva",-83.1169967651,27.6170005798
"lyva",-80.8816680908,31.3866691589
"lyva",-82.8694381714,25.2877807617
"lyva",-81.6633300781,25.2966709137
"lyva",-44.601,-23.063
"lyva",-83.510597229,27.8367004395
"lyva",-81.1766662598,30.6166706085
"lyva",-81.2300033569,24.6800003052
"lyva",-81.6636123657,25.292219162
"lyva",-44.506,-23.291
"lyva",-83.1169967651,27.6170005798
"lyva",-83.3669967651,26.3999996185
"lyva",-79.7033309937,32.5016708374
"lyva",-48.3108,-25.552
"lyva",-44.6,-23.238
"lyva",-77.3587222,8.6621388
"lyva",-80.8816680908,31.3883304596
"lyva",-83.8399963379,26.2999992371
"lyva",-82.5999984741,27.2658290863
"lyva",-80.878326416,29.3333301544
"lyva",-83.7170028687,26.3999996185
"lyva",-83.4670028687,27.6170005798
"lyva",-83.1169967651,27.6170005798
"lyva",-82.8694381714,25.2877807617
"lyva",-44.663,-23.163
"lyva",-82.8694381714,25.2877807617
"lyva",-82.0449981689,9.21333026886
"lyva",-82.9669036865,26.4164009094
"lyva",-83.9670028687,27.6170005798
"lyva",-80.2549972534,27.4966697693
"lyva",-77.4066696167,33.5433311462
"lyva",-79.7050018311,32.5
"lyva",-45.3197,-23.7222
"lyva",-81.80027771,25.2902793884
"lyva",-44.253,-23.07
"lyva",-75.7706389,10.1748611
"lyva",-82.0999984741,26.3999996185
"lyva",-82.0449981689,9.21333026886
"lyva",-82.9916992188,26.4249992371
"lyva",-82.9666976929,26.4249992371
"lyva",-79.7133331299,32.4883308411
"lyva",-84.3414001465,28.4950008392
"lyva",-83.1169967651,24.7250003815
"lyva",-83.9670028687,27.6170005798
"lyva",-83.3669967651,26.3999996185
"lyva",-86.1082992554,29.9330997467
"lyva",-81.1900024414,24.6766700745
"lyva",-82.8330001831,27.5830001831
"lyva",-83.8899993896,27.6186008453
"lyva",-83.4670028687,27.6170005798
"lyva",-71.9819869995,12.1881713867
"lyva",-83.8321990967,26.4167003632
"lyva",-44.253,-23.07
"lyva",-83.1169967651,27.6170005798
"lyva",-83.8906021118,27.6718997955
"lyva",-77.3566666,8.6721666
"lyva",-81.7333333,12.5004167
"lyva",-44.506,-23.291
"lyva",-44.558,-23.221
"lyva",-76.9130630493,26.5625
"lyva",-84.3414001465,28.4950008392
"lyva",-84.3439025879,28.4808006287
"lyva",-80.4499969482,29.8233299255
"lyva",-81.2200012207,30.3349990845
"lyva",-83.510597229,27.8367004395
"lyva",-79.7083282471,32.4933280945
"lyva",-83.1336135864,24.7961101532
"lyva",-83.5680999756,27.8757991791
"lyva",-75.7706389,10.1748611
"lyva",-75.7855556,9.7794444
"lyva",-81.3205032349,30.778799057
"lyva",-80.3066711426,28.5833301544
"lyva",-83.9670028687,27.6170005798
"lyva",-88.0500030518,16.7670001984
"lyva",-45.0506,-23.7378
"lyva",-77.3983306885,33.5266685486
"lyva",-82.8330001831,27.5830001831
"lyva",-82.5269393921,25.7647209167
"lyva",-45.5186,-23.8478
"lyva",-78.9833297729,9.55000019073
"lyva",-77.4166717529,33.5383300781
"lyva",-82.1558303833,25.7655601501
"lyva",-75.7706389,10.1748611
"lyva",-82.7277832031,26.2830600739
"lyva",-83.9670028687,27.6170005798
"lyva",-39.3670005798,-3.06699991226
"lyva",-83.9670028687,27.6170005798
"lyva",-44.225,-23.079
"lyva",-79.7083282471,32.5033302307
"lyva",-75.8661389,9.7055278
"lyva",-83.5652999878,27.8761005402
"lyva",-78.7891693115,32.6680603027
"lyva",-79.871673584,9.4066696167
"lyva",-77.4166717529,33.5383300781
"lyva",-82.4670028687,26.3999996185
"lyva",-82.6994400024,24.6027793884
"lyva",-83.4670028687,27.6170005798
"lyva",-88.0800018311,16.8016700745
"lyva",-81.2200012207,30.3349990845
"lyva",-83.1169967651,27.6170005798
"lyva",-83.1169967651,27.6170005798
"lyva",-80.503326416,30.9150009155
"lyva",-83.1169967651,27.6170005798
"lyva",-83.6297225952,25.2813892365
"lyva",-84.3471984863,28.496099472
"lyva",-74.7258300781,22.5322208405
"lyva",-80.8833312988,31.3866691589
"lyva",-82.0999984741,26.3999996185
"lyva",-88.0766677856,16.8033294678
"lyva",-79.686668396,9.5233297348
"lyva",-85.3000030518,29.3500003815
"lyva",-75.7853889,9.7774167
"lyva",-83.9670028687,27.6170005798
"lyva",-81.1833267212,30.6666698456
"lyva",-79.0410003662,33.1300010681
"lyva",-83.0329971313,25
"lyva",-81.7258,12.5687
"lyva",-82.4670028687,26.3999996185
"lyva",-83.4670028687,27.6170005798
"lyva",-79.4662017822,32.8672981262
"lyva",-83.8906021118,27.6718997955
"lyva",-44.326,-23.137
"lyva",-83.5652999878,27.8761005402
"lyva",-80.8866729736,31.3883304596
"lyva",-82.2102813721,26.2977790833
"lyva",-82.9670028687,26.3999996185
"lyva",-82.8330001831,27.5830001831
"lyva",-82.1408309937,26.0530605316
"lyva",-83.4670028687,27.6170005798
"lyva",-82.5269393921,25.7647209167
"lyva",-81.7312333,12.5131333
"lyva",-79.7083282471,32.4933280945
"lyva",-79.7033309937,32.4900016785
"lyva",-75.8658333,9.7058333
"lyva",-75.8661389,9.7055278
"lyva",-78.6666717529,32.8183288574
"lyva",-81.7312333,12.5131333
"lyva",-83.1169967651,27.6170005798
"lyva",-57.4329986572,7.56699991226
"lyva",-82.1500015259,25.289440155
"lyva",-88.0749969482,16.8033294678
"lyva",-83.4670028687,27.6170005798
"lyva",-79.1999969482,32.9000015259
"lyva",-57.1333312988,7
"lyva",-82.4670028687,26.3999996185
"lyva",-82.5269393921,25.7647209167
"lyva",-72.2983322144,11.9416704178
"lyva",-44.546,-23.048
"lyva",-86.1082992554,29.8332996368
"lyva",-75.7853889,9.7774167
"lyva",-82.7336120605,26.2802791595
"lyva",-62.6416702271,17.1666698456
"lyva",-83.3969421387,26.2805595398
"lyva",-82.7336120605,26.2802791595
"lyva",-80.374168396,28.9158306122
"lyva",-44.474,-23.009
"lyva",-85.3835983276,28.9661006927
"lyva",-83.9670028687,27.6170005798
"lyva",-44.644,-23.193
"lyva",-80.8850021362,31.3983306885
"lyva",-79.7133331299,32.4949989319
"lyva",-81.4142778,13.3623667
"lyva",-86.1053009033,29.9283008575
"lyva",-75.7706389,10.1748611
"lyva",-44.379,-23.032
"lyva",-82.1408309937,26.0530605316
"lyva",-76.2076389,9.3801111
"lyva",-77.4133300781,33.5166702271
"lyva",-83.3669967651,26.3999996185
"lyva",-44.631,-23.272
"lyva",-78.8233337402,32.4933280945
"lyva",-75.8658333,9.7058333
"lyva",-44.631,-23.272
"lyva",-80.983001709,31.5170001984
"lyva",-81.7324981689,24.5509700775
"lyva",-81.0916671753,24.6858291626
"lyva",-82.8330001831,27.5830001831
"lyva",-80.8866729736,31.3866691589
"lyva",-82.0999984741,26.3999996185
"lyva",-44.421,-23.06
"lyva",-83.1169967651,27.6170005798
"lyva",-83.3669967651,26.3999996185
"lyva",-83.2533035278,28.5680999756
"lyva",-82.8330001831,27.5830001831
"lyva",-79.1719970703,32.3866996765
"lyva",-83.1169967651,27.6170005798
"lyva",-85.2230987549,29.1464004517
"lyva",-80.983001709,31.5170001984
"lyva",-82.0999984741,26.3999996185
"lyva",-82.0999984741,26.3999996185
"lyva",-83.6297225952,25.2813892365
"lyva",-77.4183273315,33.5366706848
"lyva",-44.663,-23.163
"lyva",-83.3572235107,26.7644405365
"lyva",-82.0999984741,26.3999996185
"lyva",-80.3647232056,29.5705604553
"lyva",-80.9522171021,29.4663906097
"lyva",-84.3416976929,28.4582996368
"lyva",-77.4199981689,33.5233306885
"lyva",-86.1053009033,29.9283008575
"lyva",-88.0830001831,16.7999992371
"lyva",-83.1169967651,27.6170005798
"lyva",-74.0769500732,11.3190526962
"lyva",-82.7186126709,26.7627792358
"lyva",-45.1306,-23.7928
"lyva",-82.9669036865,26.4164009094
"lyva",-79.8669967651,9.4066696167
"lyva",-79.7116699219,32.4949989319
"lyva",-44.578,-23.185
"lyva",-82.9670028687,26.3999996185
"lyva",-44.69,-23.214
"lyva",-83.4670028687,27.6170005798
"lyva",-79.7033004761,32.4933013916
"lyva",-82.1500015259,25.289440155
"lyva",-82.9670028687,26.3999996185
"lyva",-79.2583312988,27
"lyva",-83.1169967651,27.6170005798
"lyva",-79.7089996338,32.4920005798
"lyva",-80.6669998169,29.5170001984
"lyva",-80.6669998169,29.5170001984
"lyva",-79.7166671753,32.4850006104
"lyva",-77.6949996948,24.7199993134
"lyva",-44.33,-22.973
"lyva",-80.2261962891,31.7408008575
"lyva",-79.7083282471,32.4883308411
"lyva",-62.9166717529,10.7899999619
"lyva",-44.214,-23.047
"lyva",-74.0769500732,11.3190526962
"lyva",-81.7312333,12.5131333
"lyva",-83.4670028687,27.6170005798
"lyva",-80.0166702271,27.3166694641
"lyva",-87.1829986572,29.9829998016
"lyva",-80.8499984741,30.3829994202
"lyva",-76.5733337402,33.8183288574
"lyva",-82.3822174072,26.9029197693
"lyva",-83.4670028687,27.6170005798
"lyva",-82.9655990601,26.4132995605
"lyva",-83.9008026123,27.6189002991
"lyva",-81.7258,12.5687
"lyva",-80.8850021362,31.3950004578
"lyva",-88.0749969482,16.8033294678
"lyva",-80.3333282471,24.9916706085
"lyva",-83.6863937378,24.4586105347
"lyva",-83.1169967651,27.6170005798
"lyva",-81.6633300781,25.2966709137
"lyva",-39.0126166667,-3.39728333333
"lyva",-85.3835983276,28.9661006927
"lyva",-79.7149963379,32.4850006104
"lyva",-80.8850021362,31.3899993896
"lyva",-83.9670028687,27.6170005798
"lyva",-73.9345397949,11.3146409988
"lyva",-76.2076389,9.3801111
"lyva",-82.8330001831,27.5830001831
"lyva",-83.3669967651,26.3999996185
"lyva",-82.0999984741,26.3999996185
"lyva",-78.6902999878,33.79529953
"lyva",-74.1283611,11.3256111
"lyva",-58.6170005798,8.51700019836
"lyva",-83.510597229,27.8367004395
"lyva",-82.868888855,25.2883300781
"lyva",-79.7066726685,32.4900016785
"lyva",-75.9233889,9.7905833
"lyva",-82.7336120605,26.2802791595
"lyva",-83.8921966553,27.6182994843
"lyva",-78.7825012207,32.6591682434
"lyva",-80.4983291626,29.3299999237
"lyva",-80.364440918,29.5683307648
"lyva",-82.7186126709,26.7627792358
"lyva",-83.7170028687,26.3999996185
"lyva",-82.2102813721,26.2977790833
"lyva",-78.6616668701,32.8183288574
"lyva",-82.7277832031,26.2830600739
"lyva",-82.4664001465,26.4153003693
"lyva",-44.578,-23.185
"lyva",-81.1083297729,24.7583293915
"lyva",-79.6832962036,32.6782989502
"lyva",-79.686668396,9.5233297348
"lyva",-83.510597229,27.8367004395
"lyva",-82.8330001831,27.5830001831
"lyva",-80.2050018311,28.0750007629
"lyva",-83.3669967651,26.3999996185
"lyva",-75.9233889,9.7905833
"lyva",-80.1916732788,28.0916690826
"lyva",-80.4233322144,28.6650009155
"lyva",-75.7706389,10.1748611
"lyva",-82.8330001831,27.5830001831
"lyva",-81.6633300781,25.2966709137
"lyva",-83.8921966553,27.6182994843
"lyva",-44.596,-23.203
"lyva",-81.7258,12.5687
"lyva",-79.2833328247,25.3833293915
"lyva",-83.9670028687,27.6170005798
"lyva",-87.7735977173,29.7583007812
"lyva",-83.3372192383,25.7597198486
"lyva",-78.6600036621,32.8066711426
"lyva",-83.4670028687,27.6170005798
"lyva",-78.6616668701,32.8199996948
"lyva",-79.7083282471,32.4883308411
"lyva",-44.363,-23.071
"lyva",-44.644,-23.193
"lyva",-44.546,-23.048
"lyva",-83.3669967651,26.3999996185
"lyva",-78.6837005615,33.3400001526
"lyva",-83.4670028687,27.6170005798
"lyva",-82.8330001831,27.5830001831
"lyva",-55.25,6.65000009537
"lyva",-84.3000030518,27.783000946
"lyva",-82.7336120605,26.2802791595
"lyva",-80.4016723633,30.6583309174
"lyva",-83.9670028687,27.6170005798
"lyva",-83.3669967651,26.3999996185
"lyva",-79.0554962158,33.4911994934
"lyva",-83.8921966553,27.6182994843
"lyva",-83.3669967651,26.3999996185
"lyva",-80.8816680908,31.3933296204
"lyva",-80.8833312988,31.3866691589
"lyva",-75.7464444,10.2341944
"lyva",-85.5670013428,29.6830005646
"lyva",-83.4670028687,27.6170005798
"lyva",-77.4166717529,33.5299987793
"lyva",-83.4670028687,27.6170005798
"lyva",-82.444442749,27.0049991608
"lyva",-83.3969421387,26.2805595398
"lyva",-82.1558303833,25.7655601501
"lyva",-79.8669967651,9.4066696167
"lyva",-72.1330032349,12.2670001984
"lyva",-80.2249984741,27.6683292389
"lyva",-81.7541732788,24.5505599976
"lyva",-82.4664001465,26.4153003693
"lyva",-80.8483276367,24.8016700745
"lyva",-75.523109436,10.3828935623
"lyva",-80.8833312988,31.3933296204
"lyva",-85.3711013794,28.9650001526
"lyva",-78.7829971313,32.6669998169
"lyva",-86.48813,20.57868
"lyva",-90.145967,21.348283
"lyva",-90.147611,21.346917
"lyva",-86.48813,20.57868
"lyva",-90.145967,21.348283
"lyva",-90.145967,21.348283
"lyva",-74.52727,24.03401
"lyva",-80.309851,27.456299
"lyva",-74.2397,11.20797
"lyva",-74.24058,11.21917
"lyva",-81.8711,12.1379
"lyva",-74.22922,11.20658
"lyva",-74.21598,11.24602
"lyva",-74.19433,11.26672
"lyva",-82.35178,9.26751
"lyva",-82.258615,9.352002
"lyva",-82.345834,9.235004
"lyva",-88.915694,21.444806
"lyva",-88.899689,21.46725
"lyva",-88.915694,21.444806
"lyva",-79.85464,15.80158
"lyva",-79.844088,15.795123
"lyva",-79.833333,15.833333
"lyva",-89.756472,22.576306
"lyva",-89.756472,22.576306
"lyva",-87.710735,18.700012
"lyva",-41.884187,-22.77045
"lyva",-41.904272,-22.755966
"lyva",-45.405,-23.819167
"lyva",-94.777805,18.488306
"lyva",-94.827167,18.544194
"lyva",-94.775583,18.487139
"lyva",-94.777639,18.487361
"lyva",-94.777805,18.488306
"lyva",-94.780472,18.501278
"lyva",-94.778,18.48875
"lyva",-94.777861,18.487889
"lyva",-94.778417,18.497056
"lyva",-94.777639,18.487361
"lyva",-94.777639,18.487361
"lyva",-75.770639,10.174861
"lyva",-75.770639,10.174861
"lyva",-75.770639,10.174861
"lyva",-41.884187,-22.77045
"lyva",-63.011,18.067
"lyva",-61.537167,16.348417
"lyva",-61.544806,16.304583
"lyva",-61.767028,16.090611
"lyva",-61.538783,16.351933
"lyva",-61.54495,16.224117
"lyva",-61.529683,16.364433
"lyva",-61.53878,16.35193
"lyva",-61.52968,16.36443
"lyva",-61.53717,16.34842
"lyva",-61.54481,16.30458
"lyva",-61.54495,16.22412
"lyva",-82.938167,27.525333
"lyva",-81.731233,12.513133
"lyva",-75.770639,10.174861
"lyva",-75.770639,10.174861
"lyva",-75.770639,10.174861
"lyva",-75.770639,10.174861
"lyva",-86.766767,22.250049
