Title,DOI,LatH,LatM,LatS,Dir,decimalLatitude,LonH,LonM,LonS,Dir,decimalLongitude,Depth,Date
Do tropical specialist sea urchins have higher thermal tolerances and optimal temperatures than their more widely distributed relatives?,10.3354/meps12487,9.256,,,N,9.256,82.156,,,W,-82.156,5,
Do tropical specialist sea urchins have higher thermal tolerances and optimal temperatures than their more widely distributed relatives?,10.3354/meps12488,9.334,,,N,9.334,82.218,,,W,-82.218,5,
Understanding trophic relationships among Caribbean sea urchins [Relaciones tróficas entre los erizos de mar Caribe],10.15517/rbt.v64i2.19366,18,23,18.46,N,18.38846111,65,43,5.52,W,-65.7182,1-2,
Comparative DNA damage and repair in echinoderm coelomocytes exposed to genotoxicants,10.1371/journal.pone.0107815,32,23.3,,N,32.38833333,64,40.3,,W,-64.67166667,2,09-10/2013
Complex species interaction in tropical backreef communities,10.1016/j.jembe.2010.07.013,18,28,,N,18.46666667,77,24,30,W,-77.40833333,,03/2001
"Regular sea urchins substrate association (Echinodermata: Echinoidea) on Isla Verde lagoon reef, Veracruz, Mexico [Asociación a sustratos de los erizos regulares (Echinodermata: Echinoidea) en la laguna arrecifal de Isla Verde, Veracruz, México]",https://www.researchgate.net/publication/287941820_Regular_sea_urchins_substrate_association_Echinodermata_Echinoidea_on_Isla_Verde_lagoon_reef_Veracruz_Mexico,19,12,5,N,19.20138889,96,4,10,W,-96.06944444,,10/2000-10/2002
"Regular sea urchins substrate association (Echinodermata: Echinoidea) on Isla Verde lagoon reef, Veracruz, Mexico [Asociación a sustratos de los erizos regulares (Echinodermata: Echinoidea) en la laguna arrecifal de Isla Verde, Veracruz, México]",https://www.researchgate.net/publication/287941820_Regular_sea_urchins_substrate_association_Echinodermata_Echinoidea_on_Isla_Verde_lagoon_reef_Veracruz_Mexico,19,12,5,N,19.20138889,96,4,5,W,-96.06805556,,10/2000-10/2003
"Regular sea urchins substrate association (Echinodermata: Echinoidea) on Isla Verde lagoon reef, Veracruz, Mexico [Asociación a sustratos de los erizos regulares (Echinodermata: Echinoidea) en la laguna arrecifal de Isla Verde, Veracruz, México]",https://www.researchgate.net/publication/287941820_Regular_sea_urchins_substrate_association_Echinodermata_Echinoidea_on_Isla_Verde_lagoon_reef_Veracruz_Mexico,19,12,,N,19.2,96,4,10,W,-96.06944444,,10/2000-10/2004
"Regular sea urchins substrate association (Echinodermata: Echinoidea) on Isla Verde lagoon reef, Veracruz, Mexico [Asociación a sustratos de los erizos regulares (Echinodermata: Echinoidea) en la laguna arrecifal de Isla Verde, Veracruz, México]",https://www.researchgate.net/publication/287941820_Regular_sea_urchins_substrate_association_Echinodermata_Echinoidea_on_Isla_Verde_lagoon_reef_Veracruz_Mexico,19,12,,N,19.2,96,4,5,W,-96.06805556,,10/2000-10/2005
"Recent population dynamics of diadema antillarum and Tripneustes ventricosus along the North coast of Jamaica, W.I.",https://www.researchgate.net/publication/233687173_Recent_population_dynamics_of_Diadema_antillarum_and_Tripneustes_ventricosus_along_the_north_coast_of_Jamaica_WI,18,28.4,,N,18.47333333,77,24.82,,W,-77.41366667,,1998
"Recent population dynamics of diadema antillarum and Tripneustes ventricosus along the North coast of Jamaica, W.I.",https://www.researchgate.net/publication/233687173_Recent_population_dynamics_of_Diadema_antillarum_and_Tripneustes_ventricosus_along_the_north_coast_of_Jamaica_WI,18,27.8,,N,18.46333333,77,21.44,,W,-77.35733333,,1998
"Recent population dynamics of diadema antillarum and Tripneustes ventricosus along the North coast of Jamaica, W.I.",https://www.researchgate.net/publication/233687173_Recent_population_dynamics_of_Diadema_antillarum_and_Tripneustes_ventricosus_along_the_north_coast_of_Jamaica_WI,18,28.84,,N,18.48066667,77,26.99,,W,-77.44983333,,1998
"Recent population dynamics of diadema antillarum and Tripneustes ventricosus along the North coast of Jamaica, W.I.",https://www.researchgate.net/publication/233687173_Recent_population_dynamics_of_Diadema_antillarum_and_Tripneustes_ventricosus_along_the_north_coast_of_Jamaica_WI,18,28.07,,N,18.46783333,77,23.63,,W,-77.39383333,,1998
Avoiding predation: alarm responses of Caribbean sea urchins to simulated predation on conspecific and heterospecific sea urchins,10.1007/BF00508257,9,33,14,N,9.553888889,78,55,23,W,-78.92305556,,10/1984-07-12/1985
"Effect of implanted PIT-tags on growth, survival, and tag retention in the sea urchin Tripneustes ventricosus",10.18475/cjos.v48i3.a02,18,23,18.46,N,18.38846111,65,43,5.52,W,-65.7182,,